IDENTIFIANT,NOM,PRENOM,DATE NAISSANCE,CLASSE
RDCR5362,DE RIEGERT,Benjamin,06/02/08,6C
JMST7047,SAINTAS,Quentin,08/05/09,6C
SAIT6377,HANOUCHIAN,Agopa,22/07/09,6C
PYTP6460,PERFETTO,Pascal,12/05/08,6C
RDHR5100,ROSSIO,Régis,31/03/09,6B
LAKR8442,GROGUET,Laurent,10/01/09,6B
SAIT6376,HANOUCHIAN,Leana,22/07/09,6B
CPJL6502,LADD,Claude,08/11/07,6B
FSYR6160,AREMUND,Françoise,08/10/09,6B
RXNR6026,ROSSO,Robert,19/08/09,6A
MQER5467,ROTENBERG,Michel,18/07/09,6A
JMSR5170,ROUX,Yveline,01/08/09,6A
JMSD7544,SAINT DE FLER,Elsa,02/09/08,6A
JMSD7049,SAINT DE FLER,Théo,02/10/09,6A
VJTS8474,ASOK,Vanessa,24/03/08,5C
FIFZ6677,AMMARI,Mohamed,28/08/08,5C
CWER6730,BRAMBEAUD,Christian,23/12/08,5C
DWRP5042,POISSON,Daniel,28/02/08,5C
GEBM5671,OMIANET,Georges,23/04/08,5C
VNAR5342,BRAMOND,Vincent,31/12/08,5B
ACJS6045,PSONG,Aline,15/03/08,5B
VMIM7232,LE MECHARD,Véronique,13/12/08,5B
DSTM6656,MARTAUD,Daniel,29/07/09,5B
SMKI6600,IMMEUBLE,Sylvie,10/05/07,5A
RQGP7633,TIPARTOUCHE,Robert,18/03/08,5A
BUFR7052,ERIDEAU,Bastien,31/10/07,5A
MPYV4343,CAM,Thinkou,03/06/08,5A
FVQM5746,MARSHER,Franz,27/07/08,5A
JNPH5204,HERMANT,Jean-Pierre,18/11/07,4B
RDHS5101,ROSSIO,Ludivine,18/04/07,4B
JMSJ7347,JULIAN,Gautier,10/06/08,4B
LPNL5612,LOUAPRE,Louisette,18/05/07,4B
JMSJ5333,FERNANDES,Marie-Thérèse,30/05/07,4B
CLBK6766,KAC,Christine,02/05/07,4B
JMSL5252,LHERMITTE,Bernard,03/09/08,4A
SOYI7625,ILARDO,Sylvie,15/05/06,4A
MQOM6542,MICELI,Marcel,01/05/07,4A
MYJJ7555,JOLIBOIS,Michele,19/05/07,4A
MILV5667,EMAROTE,Marie-José,20/10/07,4A
JMSJ7146,JULIENSE,Matthieu,19/12/07,4A
VMWL6764,LACIRE,Vincent,11/05/07,4A
FJOB6070,BOUSLAH,Fabien,13/05/07,4A
CGIB8632,OBRELEUR,Christophe,24/12/05,3B
DNJG6516,GEIL,Dominique,05/05/06,3B
GQEN4203,NAIMI,Lucienne,07/12/05,3B
JTNA6125,PANGONIN,Jean-Pierre,18/09/05,3B
JMSL4414,BLAFORET,Hubert,28/03/06,3B
EUUB6671,BINET,Emmanuel,22/08/06,3B
GSCB5064,BLANC,Giséle,16/02/05,3B
JUJA7577,ABSCHEN,Jean,10/11/05,3B
CYVC6773,CYMBALIST,Christophe,24/04/05,3A
FBBG8352,GUITTON,Francis,27/04/06,3A
DEOF6271,FEBVRE,Denis,21/06/06,3A
RXNS6027,ROSSO,Denise,21/03/06,3A
JMSJ7146,JULIENSE,Matthieu,19/12/07,3A
APBG6032,GIRARD,André,20/01/06,3A
NIDL5751,LE LOCH,Nicole,01/03/06,3A
JMSE5573,EGREVE,Jean-René,14/01/05,3A
JMSF8440,DUMONT,Ludovic,25/04/05,3A
